Sample_id,Sample_label
1,3
2,9
3,1
4,1
5,1
6,5
7,1
8,1
9,1
10,2
11,1
12,7
13,2
14,10
15,4
16,7
17,3
18,1
19,3
20,1
21,3
22,1
23,1
24,2
25,1
26,4
27,3
28,8
29,5
30,6
31,4
32,1
33,1
34,1
35,4
36,2
37,1
38,1
39,1
40,2
41,1
42,1
43,3
44,8
45,1
46,1
47,2
48,1
49,8
50,8
51,1
52,6
53,1
54,1
55,3
56,3
57,9
58,1
59,3
60,1
61,1
62,1
63,2
64,7
65,7
66,1
67,1
68,2
69,2
70,1
71,8
72,1
73,8
74,10
75,1
76,2
77,1
78,3
79,9
80,1
81,3
82,1
83,1
84,2
85,3
86,1
87,7
88,3
89,4
90,1
91,5
92,3
93,1
94,1
95,1
96,2
97,6
98,4
99,2
100,7
101,1
102,4
103,6
104,1
105,2
106,1
107,8
108,1
109,1
110,1
111,9
112,2
113,1
114,1
115,1
116,10
117,1
118,1
119,1
120,1
121,1
122,1
123,2
124,1
125,3
126,1
127,1
128,1
129,3
130,6
131,9
132,1
133,1
134,6
135,1
136,4
137,6
138,3
139,6
140,1
141,1
142,1
143,7
144,1
145,1
146,1
147,2
148,1
149,3
150,1
151,2
152,1
153,2
154,4
155,4
156,1
157,8
158,1
159,4
160,1
161,8
162,1
163,1
164,2
165,8
166,2
167,1
168,2
169,4
170,6
171,2
172,5
173,1
174,8
175,1
176,1
177,2
178,1
179,1
180,1
181,1
182,1
183,2
184,2
185,2
186,1
187,3
188,5
189,1
190,1
191,2
192,2
193,1
194,9
195,1
196,3
197,2
198,1
199,2
200,1
201,2
202,1
203,7
204,1
205,7
206,1
207,6
208,1
209,1
210,3
211,4
212,1
213,7
214,1
215,1
216,1
217,1
218,1
219,3
220,1
221,1
222,1
223,1
224,1
225,2
226,2
227,1
228,3
229,3
230,1
231,2
232,6
233,1
234,1
235,1
236,1
237,3
238,6
239,1
240,1
241,5
242,1
243,1
244,1
245,1
246,1
247,3
248,2
249,2
250,2
251,1
252,8
253,1
254,1
255,1
256,5
257,1
258,2
259,1
260,1
261,6
262,1
263,1
264,1
265,2
266,4
267,1
268,1
269,1
270,8
271,7
272,2
273,6
274,4
275,10
276,1
277,5
278,2
279,4
280,1
281,6
282,1
283,8
284,5
285,8
286,1
287,5
288,6
289,1
290,1
291,1
292,1
293,10
294,1
295,1
296,1
297,2
298,2
299,1
300,1
301,1
302,1
303,1
304,1
305,3
306,1
307,1
308,1
309,7
310,1
311,1
312,3
313,2
314,1
315,6
316,3
317,2
318,1
319,1
320,1
321,2
322,2
323,8
324,1
325,1
326,7
327,6
328,1
329,1
330,1
331,7
332,7
333,1
334,1
335,1
336,1
337,1
338,8
339,3
340,6
341,1
342,4
343,1
344,1
345,1
346,1
347,6
348,9
349,5
350,2
351,1
352,3
353,2
354,4
355,1
356,1
357,8
358,3
359,5
360,1
361,1
362,5
363,1
364,9
365,2
366,3
367,1
368,6
369,2
370,4
371,1
372,1
373,1
374,8
375,1
376,4
377,2
378,1
379,1
380,1
381,1
382,1
383,1
384,2
385,1
386,6
387,3
388,1
389,1
390,2
391,10
392,1
393,1
394,1
395,4
396,1
397,1
398,7
399,8
400,1
401,2
402,1
403,7
404,1
405,2
406,2
407,2
408,1
409,1
410,1
411,1
412,1
413,8
414,8
415,1
416,1
417,9
418,1
419,8
420,2
421,1
422,3
423,2
424,1
425,1
426,2
427,2
428,5
429,1
430,3
431,2
432,1
433,1
434,4
435,1
436,1
437,3
438,3
439,4
440,8
441,1
442,5
443,1
444,1
445,3
446,3
447,1
448,1
449,9
450,1
451,1
452,2
453,1
454,1
455,2
456,7
457,3
458,1
459,5
460,1
461,1
462,1
463,2
464,1
465,1
466,1
467,1
468,1
469,1
470,8
471,5
472,1
473,2
474,1
475,2
476,1
477,2
478,8
479,6
480,6
481,2
482,6
483,4
484,2
485,1
486,3
487,1
488,1
489,7
490,7
491,1
492,6
493,1
494,6
495,1
496,1
497,3
498,8
499,1
500,8
501,1
502,1
503,1
504,1
505,9
506,3
507,1
508,9
509,4
510,1
511,2
512,9
513,1
514,2
515,3
516,6
517,2
518,6
519,1
520,1
521,3
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,3
540,2
541,1
542,3
543,4
544,1
545,1
546,1
547,2
548,1
549,5
550,5
551,1
552,7
553,1
554,1
555,1
556,2
557,1
558,8
559,4
560,2
561,1
562,1
563,2
564,9
565,1
566,1
567,1
568,7
569,2
570,4
571,8
572,1
573,1
574,1
575,1
576,2
577,1
578,1
579,4
580,2
581,6
582,1
583,1
584,5
585,2
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,2
596,1
597,9
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,2
606,1
607,1
608,1
609,3
610,1
611,7
612,1
613,3
614,3
615,7
616,3
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,2
626,8
627,1
628,1
629,3
630,4
631,6
632,1
633,2
634,1
635,1
636,4
637,3
638,1
639,1
640,1
641,1
642,4
643,1
644,8
645,1
646,1
647,2
648,1
649,4
650,1
651,3
652,1
653,6
654,2
655,2
656,10
657,4
658,1
659,1
660,1
661,7
662,1
663,1
664,2
665,4
666,6
667,5
668,1
669,9
670,1
671,2
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,2
681,1
682,1
683,1
684,1
685,4
686,1
687,1
688,4
689,2
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,6
699,1
700,3
701,1
702,2
703,1
704,1
705,1
706,1
707,1
708,1
709,2
710,1
711,1
712,1
713,1
714,1
715,10
716,3
717,1
718,9
719,1
720,1
721,6
722,2
723,6
724,2
725,3
726,2
727,3
728,1
729,1
730,1
731,1
732,1
733,5
734,7
735,8
736,1
737,1
738,1
739,6
740,1
741,1
742,1
743,3
744,8
745,4
746,6
747,6
748,1
749,2
750,1
751,1
752,3
753,2
754,1
755,9
756,1
757,1
758,1
759,8
760,1
761,1
762,1
763,1
764,6
765,1
766,5
767,1
768,5
769,1
770,1
771,1
772,1
773,1
774,1
775,5
776,5
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,7
785,1
786,2
787,2
788,3
789,1
790,1
791,2
792,1
793,1
794,3
795,2
796,1
797,3
798,1
799,1
800,3
801,3
802,1
803,6
804,1
805,1
806,1
807,1
808,1
809,1
810,2
811,3
812,1
813,2
814,1
815,2
816,1
817,6
818,1
819,1
820,2
821,2
822,1
823,2
824,1
825,6
826,6
827,1
828,1
829,3
830,2
831,1
832,9
833,1
834,8
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,2
844,2
845,6
846,9
847,1
848,4
849,8
850,2
851,4
852,1
853,2
854,6
855,1
856,1
857,1
858,2
859,9
860,8
861,1
862,1
863,2
864,1
865,4
866,3
867,10
868,3
869,5
870,2
871,1
872,1
873,1
874,6
875,6
876,7
877,10
878,6
879,1
880,1
881,2
882,7
883,2
884,2
885,1
886,9
887,4
888,1
889,1
890,4
891,1
892,4
893,6
894,5
895,1
896,1
897,1
898,10
899,2
900,6
901,8
902,1
903,2
904,8
905,1
906,2
907,1
908,1
909,1
910,1
911,2
912,6
913,1
914,1
915,1
916,5
917,1
918,4
919,6
920,1
921,1
922,1
923,1
924,1
925,2
926,3
927,1
928,6
929,4
930,1
931,2
932,1
933,2
934,1
935,4
936,1
937,1
938,1
939,5
940,1
941,6
942,1
943,6
944,9
945,2
946,1
947,1
948,8
949,2
950,2
951,1
952,1
953,1
954,1
955,5
956,1
957,1
958,6
959,2
960,1
961,3
962,2
963,3
964,1
965,6
966,6
967,6
968,1
969,5
970,3
971,4
972,1
973,2
974,3
975,3
976,3
977,4
978,2
979,2
980,3
981,2
982,1
983,1
984,4
985,1
986,1
987,4
988,5
989,4
990,1
991,6
992,1
993,1
994,1
995,2
996,1
997,8
998,1
999,3
1000,1
1001,1
1002,1
1003,5
1004,3
1005,3
1006,1
1007,1
1008,1
1009,1
1010,8
1011,1
1012,1
1013,7
1014,1
1015,1
1016,1
1017,1
1018,2
1019,1
1020,1
1021,1
1022,3
1023,1
1024,8
1025,10
1026,1
1027,1
1028,1
1029,2
1030,1
1031,3
1032,2
1033,1
1034,1
1035,1
1036,1
1037,5
1038,3
1039,1
1040,6
1041,3
1042,5
1043,2
1044,2
1045,5
1046,5
1047,8
1048,2
1049,6
1050,1
1051,1
1052,1
1053,5
1054,3
1055,1
1056,3
1057,5
1058,2
1059,2
1060,1
1061,5
1062,1
1063,1
1064,2
1065,9
1066,1
1067,1
1068,1
1069,1
1070,3
1071,1
1072,1
1073,5
1074,1
1075,4
1076,6
1077,7
1078,5
1079,2
1080,4
1081,5
1082,2
1083,1
1084,2
1085,1
1086,1
1087,1
1088,2
1089,8
1090,3
1091,1
1092,1
1093,1
1094,9
1095,4
1096,1
1097,2
1098,1
1099,1
1100,5
1101,1
1102,8
1103,2
1104,1
1105,2
1106,5
1107,6
1108,2
1109,4
1110,1
1111,10
1112,1
1113,6
1114,1
1115,8
1116,6
1117,3
1118,9
1119,1
1120,1
1121,2
1122,1
1123,2
1124,4
1125,1
1126,2
1127,1
1128,2
1129,5
1130,1
1131,2
1132,3
1133,4
1134,1
1135,1
1136,1
1137,1
1138,1
1139,3
1140,1
1141,1
1142,4
1143,1
1144,1
1145,1
1146,1
1147,1
1148,2
1149,2
1150,1
1151,2
1152,1
1153,1
1154,1
1155,2
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,3
1163,1
1164,1
1165,2
1166,2
1167,1
1168,1
1169,1
1170,2
1171,1
1172,1
1173,6
1174,5
1175,2
1176,1
1177,5
1178,2
1179,1
1180,2
1181,1
1182,1
1183,1
1184,4
1185,10
1186,2
1187,10
1188,1
1189,8
1190,1
1191,1
1192,3
1193,1
1194,1
1195,1
1196,1
1197,3
1198,7
1199,3
1200,2
1201,2
1202,1
1203,3
1204,2
1205,2
1206,9
1207,3
1208,2
1209,2
1210,1
1211,9
1212,1
1213,1
1214,1
1215,1
1216,4
1217,6
1218,6
1219,1
1220,1
1221,1
1222,2
1223,7
1224,1
1225,4
1226,1
1227,1
1228,1
1229,1
1230,6
1231,2
1232,1
1233,2
1234,2
1235,1
1236,8
1237,5
1238,3
1239,2
1240,4
1241,3
1242,1
1243,3
1244,1
1245,1
1246,4
1247,1
1248,1
1249,2
1250,1
1251,4
1252,1
1253,2
1254,1
1255,1
1256,1
1257,3
1258,1
1259,2
1260,5
1261,1
1262,1
1263,1
1264,8
1265,1
1266,2
1267,1
1268,8
1269,1
1270,1
1271,5
1272,2
1273,1
1274,1
1275,6
