Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.18,0.11,0.32,0.07,0.02,0.15,0.09,0.02,0.03,0.01
2,0.27,0.16,0.15,0.05,0.03,0.13,0.06,0.05,0.09,0.01
3,0.58,0.09,0.01,0.08,0.04,0.05,0.07,0.07,0.0,0.01
4,0.75,0.09,0.06,0.01,0.02,0.03,0.02,0.01,0.01,0.0
5,0.74,0.04,0.04,0.04,0.01,0.03,0.02,0.07,0.0,0.01
6,0.39,0.02,0.07,0.14,0.13,0.05,0.05,0.12,0.01,0.02
7,0.44,0.11,0.03,0.1,0.08,0.08,0.03,0.05,0.08,0.0
8,0.46,0.14,0.0,0.1,0.08,0.09,0.01,0.06,0.05,0.01
9,0.61,0.06,0.04,0.01,0.04,0.07,0.02,0.11,0.01,0.03
10,0.37,0.25,0.03,0.08,0.05,0.06,0.03,0.03,0.06,0.04
11,0.67,0.04,0.02,0.03,0.05,0.01,0.05,0.08,0.01,0.04
12,0.48,0.05,0.04,0.06,0.08,0.1,0.06,0.08,0.01,0.04
13,0.62,0.11,0.05,0.03,0.04,0.03,0.02,0.05,0.01,0.04
14,0.4,0.17,0.11,0.12,0.05,0.05,0.02,0.03,0.02,0.03
15,0.53,0.09,0.03,0.1,0.04,0.06,0.05,0.05,0.01,0.04
16,0.41,0.13,0.0,0.16,0.04,0.08,0.03,0.12,0.0,0.03
17,0.38,0.23,0.05,0.12,0.07,0.06,0.04,0.01,0.02,0.02
18,0.72,0.09,0.04,0.01,0.02,0.03,0.03,0.03,0.01,0.02
19,0.23,0.13,0.23,0.03,0.1,0.13,0.07,0.06,0.01,0.01
20,0.61,0.27,0.05,0.02,0.01,0.01,0.01,0.01,0.01,0.0
21,0.42,0.28,0.14,0.03,0.04,0.02,0.05,0.01,0.0,0.01
22,0.55,0.06,0.01,0.09,0.09,0.03,0.05,0.03,0.06,0.03
